date,GHI,WS10M,WS50M,T2M,RH2M
2001-01-01,3.8674,2.13,3.54,25.34,86.02
2001-01-02,4.5228,1.36,2.34,25.14,88.57
2001-01-03,2.6374,1.49,2.45,25.29,86.13
2001-01-04,5.0112,2.17,3.51,24.64,70.75
2001-01-05,5.1146,1.62,2.59,24.01,76.98
2001-01-06,5.1432,1.32,2.09,24.97,81.39
2001-01-07,4.9327,1.26,2.01,25.23,81.7
2001-01-08,4.7683,1.59,2.7,24.97,85.43
2001-01-09,4.1962,1.41,2.3,25.49,85.25
2001-01-10,4.5869,2.12,3.44,24.08,87.44
2001-01-11,4.9656,1.87,3.03,24.05,67.33
2001-01-12,5.1221,1.73,2.95,24.02,81.29
2001-01-13,5.1202,1.75,2.93,25.24,84.52
2001-01-14,5.1689,2.26,3.63,25.22,84.16
2001-01-15,4.8103,1.63,2.72,25.5,82.07
2001-01-16,5.0633,1.81,2.79,25.47,84.54
2001-01-17,5.1406,2.14,3.21,25.57,76.28
2001-01-18,4.8372,1.83,2.85,25.23,67.38
2001-01-19,5.3263,1.8,2.96,24.89,76.12
2001-01-20,5.7785,2.02,3.25,24.99,75.58
2001-01-21,5.8687,1.65,2.61,25.01,80.01
2001-01-22,5.6822,1.77,2.89,24.93,78.01
2001-01-23,5.1946,1.47,2.01,25.01,78.33
2001-01-24,5.5843,1.87,2.84,24.77,72.03
2001-01-25,5.6491,1.96,3.18,23.78,66.82
2001-01-26,5.5865,1.67,2.53,24.55,73.59
2001-01-27,5.4751,1.9,3.0,24.75,62.23
2001-01-28,5.508,2.04,3.32,23.96,63.77
2001-01-29,5.6359,1.75,2.9,24.1,69.66
2001-01-30,5.4298,1.77,2.88,24.44,73.17
2001-01-31,4.7734,1.79,3.07,24.83,73.93
2001-02-01,5.8997,1.61,2.59,25.44,71.63
2001-02-02,6.078,1.84,3.05,25.24,69.55
2001-02-03,6.0917,1.96,3.26,25.59,69.65
2001-02-04,6.0142,2.33,3.59,25.82,70.83
2001-02-05,5.083,2.36,3.51,26.2,70.05
2001-02-06,6.0055,1.5,2.61,26.82,71.03
2001-02-07,6.1538,2.25,3.67,27.23,67.68
2001-02-08,5.9796,1.88,3.05,26.78,68.54
2001-02-09,5.4679,1.73,2.83,26.89,68.65
2001-02-10,5.197,2.22,3.49,27.03,65.58
2001-02-11,5.0974,2.27,3.62,26.7,59.4
2001-02-12,5.5214,2.5,3.88,26.33,51.6
2001-02-13,5.3328,2.92,4.69,25.29,44.46
2001-02-14,5.341,2.85,4.58,24.89,43.57
2001-02-15,5.5819,2.43,3.92,24.7,50.85
2001-02-16,5.1463,1.81,2.79,25.39,61.09
2001-02-17,4.9505,1.86,3.0,25.95,63.32
2001-02-18,4.8869,1.79,3.13,26.54,60.98
2001-02-19,5.081,1.96,3.22,26.55,64.49
2001-02-20,5.5642,1.81,2.94,27.01,64.79
2001-02-21,6.126,2.41,3.41,27.92,62.04
2001-02-22,5.2872,1.71,2.55,27.8,65.95
2001-02-23,5.3969,2.56,3.81,28.34,64.73
