date,GHI,WS10M,WS50M,T2M,RH2M
2001-01-01,4.8214,1.8,2.65,26.01,86.02
2001-01-02,5.4427,1.7,2.55,25.88,83.84
2001-01-03,3.7291,1.7,2.35,25.94,81.18
2001-01-04,4.9742,1.63,2.22,26.08,76.87
2001-01-05,5.3942,1.74,2.48,24.52,79.45
2001-01-06,5.1593,1.59,2.27,25.01,82.15
2001-01-07,5.3904,1.14,1.53,26.01,79.88
2001-01-08,5.345,1.56,2.26,26.03,84.5
2001-01-09,4.8694,1.49,2.27,25.27,88.65
2001-01-10,5.0856,1.74,2.56,25.14,88.21
2001-01-11,5.5678,1.91,2.8,25.12,79.76
2001-01-12,5.682,1.45,2.12,25.71,82.5
2001-01-13,5.4019,1.57,2.26,25.86,85.33
2001-01-14,5.1816,2.2,3.25,25.57,87.09
2001-01-15,4.7875,1.55,2.24,25.53,83.65
2001-01-16,4.9754,1.49,2.19,25.85,83.36
2001-01-17,5.3734,1.59,2.31,26.29,81.93
2001-01-18,5.742,1.89,2.7,25.76,79.99
2001-01-19,5.7559,1.92,2.93,25.53,81.2
2001-01-20,5.97,1.87,2.75,25.58,83.07
2001-01-21,5.7984,1.92,2.92,25.37,80.1
2001-01-22,5.4137,1.75,2.63,25.41,81.17
2001-01-23,5.5154,1.62,2.28,25.29,82.27
2001-01-24,5.8195,1.73,2.57,25.16,80.6
2001-01-25,5.6863,1.9,2.78,24.61,79.84
2001-01-26,5.7178,1.9,2.81,24.48,80.41
2001-01-27,5.7202,2.08,2.91,25.21,69.66
2001-01-28,5.8838,2.15,3.1,23.8,66.27
2001-01-29,5.7559,1.92,2.76,24.75,74.71
2001-01-30,5.6525,1.71,2.54,24.83,77.37
2001-01-31,5.4134,1.67,2.51,25.07,78.96
2001-02-01,5.796,1.73,2.65,25.15,79.45
2001-02-02,6.1896,1.64,2.45,25.16,78.45
2001-02-03,6.163,1.95,3.12,25.2,79.47
2001-02-04,6.2287,2.02,3.02,24.94,83.12
2001-02-05,5.791,1.87,2.77,25.17,79.56
2001-02-06,4.7738,1.95,2.82,25.68,81.91
2001-02-07,5.9014,2.01,3.09,25.95,80.0
2001-02-08,6.0828,1.78,2.63,25.43,81.15
2001-02-09,5.8699,1.79,2.7,25.25,81.06
2001-02-10,5.1439,1.87,2.9,25.31,82.92
2001-02-11,5.2975,1.87,2.95,25.27,82.65
2001-02-12,5.959,1.99,3.06,25.32,81.68
2001-02-13,5.5822,2.15,3.21,25.02,70.31
2001-02-14,5.622,2.29,3.41,23.47,69.38
2001-02-15,5.5896,2.07,3.05,23.61,74.17
2001-02-16,5.6446,1.77,2.58,24.52,80.0
2001-02-17,5.4329,2.15,3.11,24.25,81.2
2001-02-18,5.0148,1.86,2.76,24.32,82.79
2001-02-19,5.0426,1.84,2.8,24.6,83.55
2001-02-20,5.5812,1.67,2.46,25.29,81.29
2001-02-21,6.1783,1.73,2.56,25.84,79.64
2001-02-22,6.0569,1.44,2.11,25.86,81.7
2001-02-23,6.161,2.17,3.07,25.73,83.36
2001-02-24,5.904,2.34,3.35,25.88,84.76
2001-02-25,6.1318,2.15,3.08,25.98,83.91
2001-02-26,5.6498,2.19,3.18,26.13,83.72
2001-02-27,6.5378,2.27,3.14,26.77,83.72
2001-02-28,6.7939,2.29,3.18,26.59,82.51
2001-03-01,6.6838,2.27,3.21,26.24,80.93
2001-03-02,6.7246,1.96,2.79,26.84,77.86
2001-03-03,6.3406,1.67,2.31,27.26,79.64
2001-03-04,6.8174,2.36,3.45,27.16,79.97
2001-03-05,6.1651,2.41,3.38,27.55,81.07
2001-03-06,5.1943,2.18,3.27,26.96,82.86
2001-03-07,6.1687,2.33,3.34,27.22,81.75
2001-03-08,6.2429,2.39,3.49,27.13,80.26
