date,GHI,WS10M,WS50M,T2M,RH2M
2001-01-01,3.8674,2.23,3.76,25.0,83.15
2001-01-02,4.5228,1.55,2.63,24.74,86.52
2001-01-03,2.6374,1.32,2.07,25.32,80.99
2001-01-04,5.0112,2.52,4.02,23.9,66.75
2001-01-05,5.1146,1.68,2.74,23.29,70.04
2001-01-06,5.1432,1.45,2.03,24.11,73.09
2001-01-07,4.9327,1.25,1.84,24.78,76.11
2001-01-08,4.7683,1.64,2.68,24.67,82.43
2001-01-09,4.1962,1.39,2.19,24.97,82.71
2001-01-10,4.5869,1.92,3.01,24.36,74.25
2001-01-11,4.9656,2.0,2.99,24.19,57.57
2001-01-12,5.1221,1.64,2.72,23.78,75.59
2001-01-13,5.1202,1.81,2.86,25.1,80.51
2001-01-14,5.1689,2.21,3.75,25.41,78.59
2001-01-15,4.8103,1.81,2.93,25.38,77.04
2001-01-16,5.0633,1.81,2.56,25.12,81.15
2001-01-17,5.1406,2.22,3.14,25.35,66.43
2001-01-18,4.8372,2.11,3.27,24.77,56.77
2001-01-19,5.3263,1.99,2.98,24.45,62.93
2001-01-20,5.7785,2.17,3.24,24.82,63.98
2001-01-21,5.8687,1.83,2.69,24.5,70.9
2001-01-22,5.6822,2.12,3.16,24.6,67.51
2001-01-23,5.1946,1.55,2.25,24.41,65.76
2001-01-24,5.5843,2.08,3.11,24.58,56.63
2001-01-25,5.6491,2.55,3.9,23.56,50.75
2001-01-26,5.5865,1.86,2.69,24.59,56.67
2001-01-27,5.4751,2.34,3.57,24.28,49.6
2001-01-28,5.508,2.42,3.61,23.95,46.96
2001-01-29,5.6359,1.89,2.79,24.0,56.14
2001-01-30,5.4298,1.79,2.81,24.23,68.52
2001-01-31,4.7734,1.94,3.03,24.73,71.12
2001-02-01,5.8997,1.72,2.51,25.59,66.39
2001-02-02,6.078,2.08,3.03,25.12,61.81
2001-02-03,6.0917,1.97,3.09,25.37,65.24
2001-02-04,6.0142,2.37,3.55,25.38,70.45
