date,GHI,WS10M,WS50M,T2M,RH2M
2001-01-01,4.9483,2.33,3.85,25.08,74.58
2001-01-02,4.8809,1.46,2.57,24.89,78.68
2001-01-03,2.2747,1.61,2.71,24.85,76.05
2001-01-04,5.4878,3.09,4.82,23.67,55.33
2001-01-05,5.269,2.12,3.31,23.64,52.78
2001-01-06,5.2438,1.58,2.25,24.34,59.58
2001-01-07,5.5272,1.2,1.76,24.7,63.87
2001-01-08,4.8415,1.48,2.4,24.66,71.23
2001-01-09,5.1113,1.18,1.74,25.41,72.22
2001-01-10,5.1722,2.34,3.6,23.27,66.21
2001-01-11,5.3246,2.64,3.91,23.59,46.46
2001-01-12,5.6935,1.59,2.42,24.24,56.16
2001-01-13,5.4706,1.46,2.39,24.89,70.7
2001-01-14,5.3182,2.11,3.47,25.42,70.4
2001-01-15,5.5162,1.72,2.66,25.52,67.04
2001-01-16,5.1286,2.05,3.01,25.13,71.23
2001-01-17,5.4929,2.67,3.73,24.8,59.73
2001-01-18,5.6054,2.88,4.38,24.38,45.4
2001-01-19,6.0962,2.42,3.65,24.02,47.62
2001-01-20,6.1037,2.48,3.5,24.74,46.75
2001-01-21,6.1006,2.44,3.69,23.77,52.98
2001-01-22,5.9227,2.47,3.65,24.06,56.19
2001-01-23,5.2766,1.78,2.66,23.9,52.84
2001-01-24,5.958,2.57,3.73,24.28,46.72
2001-01-25,6.0072,3.23,4.9,23.38,37.87
2001-01-26,5.9911,2.28,3.2,24.47,40.35
2001-01-27,5.7943,3.22,4.63,23.93,35.56
2001-01-28,5.8519,3.06,4.48,23.99,33.34
2001-01-29,6.1241,2.09,2.89,24.63,35.84
2001-01-30,6.0019,1.76,2.57,24.74,51.28
2001-01-31,5.4684,2.17,3.24,25.0,58.01
2001-02-01,6.1286,2.05,2.75,25.83,50.08
2001-02-02,6.5143,2.6,3.53,25.52,36.32
2001-02-03,6.3446,2.37,3.32,25.55,41.66
2001-02-04,6.2813,2.0,3.26,25.82,57.36
2001-02-05,5.8106,1.99,3.0,26.25,61.55
2001-02-06,5.6095,1.68,2.66,26.3,63.14
2001-02-07,5.9986,3.22,4.67,26.11,55.1
2001-02-08,6.1085,1.75,2.47,26.15,52.88
2001-02-09,5.5517,1.87,2.76,26.37,58.3
2001-02-10,5.2944,2.74,3.8,26.5,48.25
2001-02-11,5.1144,3.28,4.76,25.87,33.17
2001-02-12,5.9186,3.91,6.0,25.09,30.83
2001-02-13,5.8265,4.3,6.39,24.52,26.92
2001-02-14,6.1306,3.88,5.66,24.54,24.53
2001-02-15,5.9654,3.41,4.98,23.79,28.29
2001-02-16,6.001,2.01,2.68,25.44,32.85
2001-02-17,5.6453,1.78,2.69,26.15,33.78
2001-02-18,5.6196,2.14,3.3,26.53,48.65
2001-02-19,5.7994,2.16,3.18,26.91,45.88
2001-02-20,5.893,2.01,2.91,25.61,52.82
2001-02-21,6.5035,2.9,4.21,27.25,55.61
2001-02-22,6.2626,1.71,2.45,28.12,53.92
2001-02-23,6.0379,2.15,3.27,27.95,54.75
2001-02-24,5.5702,2.69,3.91,28.29,58.03
2001-02-25,6.2801,2.57,3.61,28.7,55.67
2001-02-26,4.6862,2.34,3.57,28.25,53.56
2001-02-27,6.6686,2.55,3.72,28.05,50.42
2001-02-28,6.9233,3.15,4.49,28.47,49.21
2001-03-01,6.8398,2.99,4.32,28.44,50.39
2001-03-02,6.5827,2.59,3.89,28.84,56.97
2001-03-03,6.1579,2.02,2.95,28.97,58.93
2001-03-04,6.6204,2.61,3.9,29.08,57.46
2001-03-05,5.3621,2.49,3.48,28.39,61.94
2001-03-06,5.6323,2.65,3.53,28.28,63.4
2001-03-07,6.4152,2.96,3.9,29.24,58.5
2001-03-08,6.461,3.06,4.23,26.79,65.14
2001-03-09,6.2222,2.58,3.75,28.6,57.88
2001-03-10,5.5034,2.2,3.09,29.36,54.66
2001-03-11,5.6088,2.98,3.9,29.51,56.76
2001-03-12,5.5675,2.66,3.55,29.15,58.79
2001-03-13,5.4103,2.55,3.26,29.54,58.6
2001-03-14,4.3632,2.89,3.58,27.75,66.0
2001-03-15,5.599,2.77,3.43,27.85,65.46
2001-03-16,6.2611,3.38,4.45,28.7,57.87
2001-03-17,6.7025,3.01,4.13,28.69,53.63
2001-03-18,6.5736,3.34,4.15,28.05,59.31
2001-03-19,6.217,3.14,3.92,28.69,61.0
2001-03-20,4.5953,2.91,3.79,27.87,62.95
2001-03-21,5.7072,2.71,3.63,28.72,60.44
2001-03-22,6.5393,2.81,3.88,28.51,58.53
2001-03-23,6.7001,3.05,3.93,28.64,61.38
2001-03-24,5.261,2.22,2.89,28.37,64.48
2001-03-25,5.6815,3.73,4.68,27.47,66.39
2001-03-26,3.8328,3.19,3.91,26.54,67.38
2001-03-27,4.6644,3.62,4.65,26.9,65.09
2001-03-28,6.8057,4.24,5.49,26.81,63.37
2001-03-29,6.4882,3.72,4.82,28.84,56.46
2001-03-30,5.6806,3.38,4.28,28.96,58.26
2001-03-31,4.9265,3.8,4.7,28.45,61.7
2001-04-01,6.2323,3.75,4.67,27.05,69.65
2001-04-02,5.1996,3.95,4.92,28.06,62.63
2001-04-03,5.3107,3.45,4.53,27.28,65.65
2001-04-04,5.46,3.68,4.88,27.89,64.39
2001-04-05,5.4137,3.02,3.94,29.6,56.68
2001-04-06,4.4774,3.13,3.77,27.67,67.47
