date,GHI,WS10M,WS50M,T2M,RH2M
2001-01-01,4.7662,1.92,3.07,24.68,78.75
2001-01-02,5.0573,1.42,2.34,24.48,83.74
2001-01-03,4.0126,1.04,1.47,24.61,83.11
2001-01-04,4.8778,2.96,4.63,23.08,66.87
2001-01-05,5.3196,2.23,3.53,23.14,58.32
2001-01-06,4.5545,1.63,2.4,23.96,66.53
2001-01-07,5.0609,1.11,1.54,24.53,66.56
2001-01-08,5.3635,1.19,1.73,24.58,73.49
2001-01-09,4.9826,1.33,1.98,23.9,84.13
2001-01-10,5.3107,2.12,3.28,22.4,79.47
2001-01-11,5.4276,2.61,3.85,22.86,51.24
2001-01-12,5.5349,1.45,2.14,23.39,57.81
2001-01-13,5.2284,1.43,2.17,23.81,72.7
2001-01-14,5.2171,1.99,3.23,24.54,79.57
2001-01-15,4.344,1.19,1.64,25.29,72.45
2001-01-16,5.0254,1.53,2.36,25.12,75.81
2001-01-17,5.2198,2.42,3.5,24.46,69.99
2001-01-18,5.4742,2.89,4.43,23.38,52.23
2001-01-19,5.7307,2.59,3.96,23.44,53.98
2001-01-20,6.0511,2.71,4.11,23.44,54.93
2001-01-21,5.8694,2.24,3.36,23.54,56.61
2001-01-22,5.4341,2.04,3.01,24.05,58.16
2001-01-23,5.3335,1.28,1.82,23.52,62.84
2001-01-24,5.6496,2.5,3.78,23.62,56.53
2001-01-25,5.759,3.17,5.02,22.44,47.91
2001-01-26,5.8157,2.5,3.65,23.59,47.8
2001-01-27,5.7346,3.48,5.25,22.98,44.97
2001-01-28,5.9707,3.13,4.76,23.03,42.07
2001-01-29,5.6371,2.04,2.94,24.05,44.03
2001-01-30,5.7154,1.43,2.31,24.14,60.4
2001-01-31,5.4043,1.62,2.51,24.77,65.28
2001-02-01,5.8147,1.93,2.74,25.24,58.26
2001-02-02,6.0722,2.66,3.87,24.51,46.03
2001-02-03,6.2184,2.57,3.83,24.7,50.15
2001-02-04,6.2429,1.62,2.78,25.42,57.57
2001-02-05,5.7271,1.41,2.33,26.02,64.96
2001-02-06,5.5558,1.53,2.41,26.01,68.41
2001-02-07,5.9126,2.95,4.55,26.21,58.78
2001-02-08,6.1181,1.62,2.46,25.78,56.13
2001-02-09,5.8135,1.64,2.48,26.19,60.94
2001-02-10,5.1434,2.63,3.99,25.8,57.58
2001-02-11,5.1821,3.41,5.27,25.27,38.49
2001-02-12,5.934,3.61,5.62,24.85,36.69
2001-02-13,5.6969,4.33,6.66,24.2,34.73
2001-02-14,5.6618,3.75,5.78,24.21,31.89
2001-02-15,5.7326,3.21,4.8,23.93,33.82
2001-02-16,5.7221,2.24,3.21,24.92,44.57
2001-02-17,5.484,1.74,2.67,25.87,42.39
2001-02-18,5.3362,1.97,2.98,26.19,54.54
2001-02-19,5.1228,1.5,2.35,26.98,54.71
2001-02-20,5.701,2.18,3.25,26.72,55.63
2001-02-21,6.0996,2.6,3.88,27.8,56.23
2001-02-22,6.1925,1.5,2.23,27.69,57.76
2001-02-23,5.8546,1.84,2.79,27.62,58.5
2001-02-24,5.773,2.27,3.28,27.75,63.47
2001-02-25,6.2928,2.43,3.1,28.33,61.72
2001-02-26,5.3851,2.09,2.97,28.23,61.84
2001-02-27,6.5796,2.24,3.37,27.9,56.28
2001-02-28,6.797,2.8,4.19,28.64,54.28
2001-03-01,6.4452,2.21,3.42,28.39,56.26
2001-03-02,6.5736,2.09,3.11,28.96,57.85
2001-03-03,6.3343,1.83,2.56,29.44,59.52
2001-03-04,6.8186,2.47,3.6,29.66,55.87
2001-03-05,5.6611,2.69,3.46,29.33,62.71
2001-03-06,4.9704,2.85,3.59,28.23,67.55
2001-03-07,5.8894,2.53,3.34,28.78,65.28
2001-03-08,5.4859,2.92,3.82,28.3,64.96
2001-03-09,5.7574,2.71,3.63,29.12,60.78
2001-03-10,5.9479,2.16,2.91,29.4,58.09
2001-03-11,5.5975,2.77,3.59,29.29,60.75
2001-03-12,5.6875,2.97,3.73,29.17,62.75
2001-03-13,5.2891,2.77,3.46,28.93,64.51
2001-03-14,5.5166,3.01,3.83,29.32,61.07
2001-03-15,5.0261,2.23,2.97,29.31,60.61
2001-03-16,6.6689,3.0,3.86,29.39,53.14
2001-03-17,6.5033,2.71,3.53,28.98,55.15
2001-03-18,6.4709,3.33,4.08,28.66,59.2
2001-03-19,5.7511,3.2,3.9,29.17,60.69
2001-03-20,4.955,3.28,3.94,28.7,62.73
2001-03-21,5.503,3.13,3.78,28.86,63.05
2001-03-22,6.0955,3.07,3.84,29.67,57.53
2001-03-23,6.4034,3.46,4.29,29.38,60.0
2001-03-24,5.2114,2.23,2.91,28.79,64.52
2001-03-25,5.4564,3.29,4.29,27.32,67.19
2001-03-26,5.1739,3.3,4.12,27.09,68.23
2001-03-27,4.8192,3.82,4.81,27.46,66.39
2001-03-28,6.763,4.0,5.14,27.74,59.4
2001-03-29,6.5954,3.39,4.32,28.83,57.25
